Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2021.12.25,Dec-2021,Unprovoked,New Zealand,South Island,Pororari River,N,Unknown,Unknown,Swimming,Unknown,"Pororari River, South Island, New Zealand","(-42.13258393594977, 171.3976483738629)",-42.13258393594977,171.3976483738629
2021.12.24,Dec-2021,Unprovoked,United States,California,"Morro Beach, San Obispo County",Y,10h40,Morning,Surfing,White,"Morro Beach, San Obispo County, California, United States","(35.3918466, -120.8664024)",35.3918466,-120.8664024
2021.12.11,Dec-2021,Unprovoked,Australia,Queensland,Yarrabah,N,10h30,Morning,Fishing,Bull,"Yarrabah, Queensland, Australia","(-16.9316466, 145.8768075)",-16.9316466,145.8768075
2021.12.06b,Dec-2021,Unprovoked,Australia,Victoria,Ocean Grove Beach,N,19h20,Evening,Swimming,Unknown,"Ocean Grove Beach, Victoria, Australia","(-38.2710698, 144.5247085)",-38.2710698,144.5247085
2021.12.06,Dec-2021,Unprovoked,Australia,Victoria,Ocean Grove Beach,N,19h20,Evening,Swimming,Unknown,"Ocean Grove Beach, Victoria, Australia","(-38.2710698, 144.5247085)",-38.2710698,144.5247085
2021.12.04,Dec-2021,Unprovoked,United States,Hawaii,"Banyans, Kailua-Kona",N,Unknown,Unknown,Surfing,Blacktip,"Banyans, Kailua-Kona, Hawaii, United States","(19.6064417, -155.9764263)",19.6064417,-155.9764263
2021.11.15,Nov-2021,Unprovoked,Brazil,São Paulo.,Boqueirão Beach,U,12h00,Afternoon,Leisure,Unknown,"Boqueirão Beach, São Paulo., Brazil","(-23.9742687, -46.323064)",-23.9742687,-46.323064
2021.11.07,Nov-2021,Unprovoked,United States,Hawaii,"Lahaina, Maui",N,10h30,Morning,Fishing,Unknown,"Lahaina, Maui, Hawaii, United States","(20.8783333, -156.6825)",20.8783333,-156.6825
2021.11.06,Nov-2021,Unprovoked,Australia,Western Australia,"Port Beach, North Freemantle",Y,10h00,Morning,Swimming,Unknown,"Port Beach, North Freemantle, Western Australia, Australia","(-32.0392459, 115.7436719)",-32.0392459,115.7436719
2021.11.03,Nov-2021,Unprovoked,Brazil,São Paulo.,Ubatuba Beach,N,Unknown,Unknown,Swimming,Unknown,"Ubatuba Beach, São Paulo., Brazil","(-23.5467807, -46.6683314)",-23.5467807,-46.6683314
2021.11.02,Nov-2021,Unprovoked,New Zealand,North Island,Taranaki,N,Unknown,Unknown,Surfing,Unknown,"Taranaki, North Island, New Zealand","(-39.3538149, 174.4382721)",-39.3538149,174.4382721
2021.10.15b,Oct-2021,Unprovoked,Australia,Queensland,"Hook Island, Whitsundays",N,Dusk,Unknown,Swimming,Unknown,"Hook Island, Whitsundays, Queensland, Australia","(-20.1135349, 148.9263611)",-20.1135349,148.9263611
2021.10.15,Oct-2021,Not Confirmed,Australia,Queensland,Sadbury Reef,U,Unknown,Unknown,Fishing,Unknown,"Sadbury Reef, Queensland, Australia","(-16.99908246240383, 146.209161436343)",-16.99908246240383,146.209161436343
